Series Name;Series Code;Country Name;Country Code;2013 [YR2013]
Forest area (% of land area);AG.LND.FRST.ZS;Afghanistan;AFG;206.782.464.846.981
Forest area (% of land area);AG.LND.FRST.ZS;Albania;ALB;282.270.072.992.701
Forest area (% of land area);AG.LND.FRST.ZS;Algeria;DZA;0.814866442180927
Forest area (% of land area);AG.LND.FRST.ZS;American Samoa;ASM;88.05
Forest area (% of land area);AG.LND.FRST.ZS;Andorra;ADO;340.425.531.914.894
Forest area (% of land area);AG.LND.FRST.ZS;Angola;AGO;466.075.238.629.983
Forest area (% of land area);AG.LND.FRST.ZS;Antigua and Barbuda;ATG;222.727.272.727.273
Forest area (% of land area);AG.LND.FRST.ZS;Argentina;ARG;101.237.626.475.779
Forest area (% of land area);AG.LND.FRST.ZS;Armenia;ARM;116.473.480.857.043
Forest area (% of land area);AG.LND.FRST.ZS;Aruba;ABW;233.333.333.333.333
Forest area (% of land area);AG.LND.FRST.ZS;Australia;AUS;161.585.723.025.656
Forest area (% of land area);AG.LND.FRST.ZS;Austria;AUT;468.357.344.512.971
Forest area (% of land area);AG.LND.FRST.ZS;Azerbaijan;AZE;131.499.292.273.074
Forest area (% of land area);AG.LND.FRST.ZS;Bahamas, The;BHS;514.485.514.485.514
Forest area (% of land area);AG.LND.FRST.ZS;Bahrain;BHR;0.74025974025974
Forest area (% of land area);AG.LND.FRST.ZS;Bangladesh;BGD;110.178.996.696.628
Forest area (% of land area);AG.LND.FRST.ZS;Barbados;BRB;146.511.627.906.977
Forest area (% of land area);AG.LND.FRST.ZS;Belarus;BLR;423.522.744.073.727
Forest area (% of land area);AG.LND.FRST.ZS;Belgium;BEL;225.402.906.208.719
Forest area (% of land area);AG.LND.FRST.ZS;Belize;BLZ;603.393.248.575.186
Forest area (% of land area);AG.LND.FRST.ZS;Benin;BEN;391.184.817.311.103
Forest area (% of land area);AG.LND.FRST.ZS;Bermuda;BMU;20
Forest area (% of land area);AG.LND.FRST.ZS;Bhutan;BTN;717.548.600.362.043
Forest area (% of land area);AG.LND.FRST.ZS;Bolivia;BOL;51.086.494.969.076
Forest area (% of land area);AG.LND.FRST.ZS;Bosnia and Herzegovina;BIH;4.267.578.125
Forest area (% of land area);AG.LND.FRST.ZS;Botswana;BWA;194.879.395.832.231
Forest area (% of land area);AG.LND.FRST.ZS;Brazil;BRA;592.842.426.664.306
Forest area (% of land area);AG.LND.FRST.ZS;Brunei Darussalam;BRN;721.062.618.595.825
Forest area (% of land area);AG.LND.FRST.ZS;Bulgaria;BGR;348.986.735.445.836
Forest area (% of land area);AG.LND.FRST.ZS;Burkina Faso;BFA;199.912.280.701.754
Forest area (% of land area);AG.LND.FRST.ZS;Burundi;BDI;103.894.080.996.885
Forest area (% of land area);AG.LND.FRST.ZS;Cabo Verde;CPV;218.312.655.086.849
Forest area (% of land area);AG.LND.FRST.ZS;Cambodia;KHM;550.181.282.574.213
Forest area (% of land area);AG.LND.FRST.ZS;Cameroon;CMR;407.353.345.603.012
Forest area (% of land area);AG.LND.FRST.ZS;Canada;CAN;381.769.195.833.072
Forest area (% of land area);AG.LND.FRST.ZS;Cayman Islands;CYM;529.166.666.666.667
Forest area (% of land area);AG.LND.FRST.ZS;Central African Republic;CAF;356.370.991.043.051
Forest area (% of land area);AG.LND.FRST.ZS;Chad;TCD;407.258.576.874.206
Forest area (% of land area);AG.LND.FRST.ZS;Channel Islands;CHI;421.052.631.578.947
Forest area (% of land area);AG.LND.FRST.ZS;Chile;CHL;230.432.583.937.208
Forest area (% of land area);AG.LND.FRST.ZS;China;CHN;218.611.298.787.383
Forest area (% of land area);AG.LND.FRST.ZS;Colombia;COL;527.761.784.587.652
Forest area (% of land area);AG.LND.FRST.ZS;Comoros;COM;203.116.603.976.357
Forest area (% of land area);AG.LND.FRST.ZS;Congo, Dem. Rep.;ZAR;675.771.597.450.431
Forest area (% of land area);AG.LND.FRST.ZS;Congo, Rep.;COG;65.489.897.510.981
Forest area (% of land area);AG.LND.FRST.ZS;Costa Rica;CRI;527.927.927.927.928
Forest area (% of land area);AG.LND.FRST.ZS;Cote d'Ivoire;CIV;327.100.628.930.818
Forest area (% of land area);AG.LND.FRST.ZS;Croatia;HRV;343.316.654.753.395
Forest area (% of land area);AG.LND.FRST.ZS;Cuba;CUB;290.542.889.083.035
Forest area (% of land area);AG.LND.FRST.ZS;Curacao;CUW;..
Forest area (% of land area);AG.LND.FRST.ZS;Cyprus;CYP;186.969.696.969.697
Forest area (% of land area);AG.LND.FRST.ZS;Czech Republic;CZE;344.814.191.376.408
Forest area (% of land area);AG.LND.FRST.ZS;Denmark;DNK;14.191.845.392.411
Forest area (% of land area);AG.LND.FRST.ZS;Djibouti;DJI;0.241587575496117
Forest area (% of land area);AG.LND.FRST.ZS;Dominica;DMA;58.48
Forest area (% of land area);AG.LND.FRST.ZS;Dominican Republic;DOM;396.647.350.993.377
Forest area (% of land area);AG.LND.FRST.ZS;Ecuador;ECU;511.569.898.534.386
Forest area (% of land area);AG.LND.FRST.ZS;Egypt, Arab Rep.;EGY;0.0721281832337134
Forest area (% of land area);AG.LND.FRST.ZS;El Salvador;SLV;132.142.857.142.857
Forest area (% of land area);AG.LND.FRST.ZS;Equatorial Guinea;GNQ;567.272.727.272.727
Forest area (% of land area);AG.LND.FRST.ZS;Eritrea;ERI;150.376.237.623.762
Forest area (% of land area);AG.LND.FRST.ZS;Estonia;EST;526.728.001.887.238
Forest area (% of land area);AG.LND.FRST.ZS;Ethiopia;ETH;124.178
Forest area (% of land area);AG.LND.FRST.ZS;Faeroe Islands;FRO;0.0573065902578797
Forest area (% of land area);AG.LND.FRST.ZS;Fiji;FJI;55.143.951.833.607
Forest area (% of land area);AG.LND.FRST.ZS;Finland;FIN;731.119.813.090.263
Forest area (% of land area);AG.LND.FRST.ZS;France;FRA;306.141.643.701.021
Forest area (% of land area);AG.LND.FRST.ZS;French Polynesia;PYF;423.497.267.759.563
Forest area (% of land area);AG.LND.FRST.ZS;Gabon;GAB;877.090.852.640.975
Forest area (% of land area);AG.LND.FRST.ZS;Gambia, The;GMB;47.905.138.339.921
Forest area (% of land area);AG.LND.FRST.ZS;Georgia;GEO;406.159.159.591.308
Forest area (% of land area);AG.LND.FRST.ZS;Germany;DEU;327.509.037.700.121
Forest area (% of land area);AG.LND.FRST.ZS;Ghana;GHA;407.849.169.376.813
Forest area (% of land area);AG.LND.FRST.ZS;Greece;GRC;309.821.567.106.284
Forest area (% of land area);AG.LND.FRST.ZS;Greenland;GRL;0.000535997076379583
Forest area (% of land area);AG.LND.FRST.ZS;Grenada;GRD;499.705.882.352.941
Forest area (% of land area);AG.LND.FRST.ZS;Guam;GUM;462.962.962.962.963
Forest area (% of land area);AG.LND.FRST.ZS;Guatemala;GTM;337.140.724.150.803
Forest area (% of land area);AG.LND.FRST.ZS;Guinea;GIN;26.192.414.129.904
Forest area (% of land area);AG.LND.FRST.ZS;Guinea-Bissau;GNB;708.392.603.129.445
Forest area (% of land area);AG.LND.FRST.ZS;Guyana;GUY;840.538.481.076.962
Forest area (% of land area);AG.LND.FRST.ZS;Haiti;HTI;357.764.876.632.801
Forest area (% of land area);AG.LND.FRST.ZS;Honduras;HND;431.852.712.485.477
Forest area (% of land area);AG.LND.FRST.ZS;Hong Kong SAR, China;HKG;..
Forest area (% of land area);AG.LND.FRST.ZS;Hungary;HUN;227.526.786.700.541
Forest area (% of land area);AG.LND.FRST.ZS;Iceland;ISL;0.464837905236908
Forest area (% of land area);AG.LND.FRST.ZS;India;IND;236.531.133.227.274
Forest area (% of land area);AG.LND.FRST.ZS;Indonesia;IDN;509.937.788.768.858
Forest area (% of land area);AG.LND.FRST.ZS;Iran, Islamic Rep.;IRN;65.653.372.632.096
Forest area (% of land area);AG.LND.FRST.ZS;Iraq;IRQ;189.952.109.044.023
Forest area (% of land area);AG.LND.FRST.ZS;Ireland;IRL;107.803.745.100.885
Forest area (% of land area);AG.LND.FRST.ZS;Isle of Man;IMY;607.017.543.859.649
Forest area (% of land area);AG.LND.FRST.ZS;Israel;ISR;742.144.177.449.168
Forest area (% of land area);AG.LND.FRST.ZS;Italy;ITA;312.415.856.394.914
Forest area (% of land area);AG.LND.FRST.ZS;Jamaica;JAM;310.212.373.037.858
Forest area (% of land area);AG.LND.FRST.ZS;Japan;JPN;68.469.387.755.102
Forest area (% of land area);AG.LND.FRST.ZS;Jordan;JOR;109.822.031.989.187
Forest area (% of land area);AG.LND.FRST.ZS;Kazakhstan;KAZ;122.569.174.352.706
Forest area (% of land area);AG.LND.FRST.ZS;Kenya;KEN;762.518.888.147.029
Forest area (% of land area);AG.LND.FRST.ZS;Kiribati;KIR;15
Forest area (% of land area);AG.LND.FRST.ZS;Korea, Dem. Rep.;PRK;438.917.033.468.981
Forest area (% of land area);AG.LND.FRST.ZS;Korea, Rep.;KOR;636.037.182.196.869
Forest area (% of land area);AG.LND.FRST.ZS;Kosovo;KSV;..
Forest area (% of land area);AG.LND.FRST.ZS;Kuwait;KWT;0.350729517396184
Forest area (% of land area);AG.LND.FRST.ZS;Kyrgyz Republic;KGZ;340.458.811.261.731
Forest area (% of land area);AG.LND.FRST.ZS;Lao PDR;LAO;796.493.500.866.551
Forest area (% of land area);AG.LND.FRST.ZS;Latvia;LVA;539.507.959.479.016
Forest area (% of land area);AG.LND.FRST.ZS;Lebanon;LBN;13.405.669.599.218
Forest area (% of land area);AG.LND.FRST.ZS;Lesotho;LSO;154.808.959.156.785
Forest area (% of land area);AG.LND.FRST.ZS;Liberia;LBR;440.095.514.950.166
Forest area (% of land area);AG.LND.FRST.ZS;Libya;LBY;0.123327687918433
Forest area (% of land area);AG.LND.FRST.ZS;Liechtenstein;LIE;43.125
Forest area (% of land area);AG.LND.FRST.ZS;Lithuania;LTU;347.187.873.952.932
Forest area (% of land area);AG.LND.FRST.ZS;Luxembourg;LUX;334.749.034.749.035
